iter	Logloss
0	0.688923015
1	0.6836779701
2	0.679086764
3	0.6748524757
4	0.6696675834
5	0.6652739583
6	0.6611091541
7	0.6571226247
8	0.6526317322
9	0.6482649025
10	0.6440474212
11	0.6403949639
12	0.6366759446
13	0.6336302726
14	0.6304144782
15	0.6269650964
16	0.6238286064
17	0.6207770116
18	0.6179524224
19	0.6148036604
20	0.6118366711
21	0.6084884215
22	0.6051916538
23	0.6021569359
24	0.5989736395
25	0.5961507319
26	0.5937331581
27	0.5913505075
28	0.5884875675
29	0.5863361922
30	0.5843827174
31	0.582524295
32	0.5803536521
33	0.5785116245
34	0.5769857942
35	0.5749166217
36	0.5726023167
37	0.5705893907
38	0.5686743935
39	0.5668318578
40	0.5654529916
41	0.5643669809
42	0.562811953
43	0.5610374776
44	0.5595572041
45	0.5579719568
46	0.5560159942
47	0.5546175308
48	0.5532480441
49	0.5519751191
50	0.5505891343
51	0.5491836298
52	0.5480354349
53	0.5467248674
54	0.5456061021
55	0.5443228537
56	0.543317664
57	0.5418992983
58	0.5409168011
59	0.5397848957
60	0.5390081538
61	0.5379237529
62	0.5368043434
63	0.5355794457
64	0.5348210842
65	0.5339677195
66	0.5334551668
67	0.5326411441
68	0.531743847
69	0.5307299779
70	0.5298756884
71	0.529039063
72	0.5283361405
73	0.5275425387
74	0.526698028
75	0.5257212956
76	0.5250540015
77	0.5240887577
78	0.5233553809
79	0.5226554229
80	0.521818203
81	0.5207271246
82	0.5200948076
83	0.5195429952
84	0.5188689388
85	0.518285108
86	0.5175890294
87	0.5169823229
88	0.5162813138
89	0.515674232
90	0.5149847786
91	0.5144525074
92	0.5138326507
93	0.5131453191
94	0.5123893429
95	0.5117555567
96	0.5111286243
97	0.5106955838
98	0.5100861101
99	0.5094433094
100	0.5090312085
101	0.5084871629
102	0.5079954838
103	0.5074676876
104	0.5071287085
105	0.5066640639
106	0.5062748259
107	0.5056896573
108	0.5053129832
109	0.5048162162
110	0.5042270807
111	0.5037455675
112	0.5032880279
113	0.5028645329
114	0.5024105778
115	0.5020011749
116	0.5015537676
117	0.5010858171
118	0.5005304535
119	0.5001280035
120	0.4995679517
121	0.4991735331
122	0.4987675677
123	0.4985017191
124	0.497972963
125	0.4976225942
126	0.49719639
127	0.496659692
128	0.4961923685
129	0.4958298858
130	0.4953144754
131	0.4950004495
132	0.4946305913
133	0.4942993368
134	0.4939035792
135	0.4935782862
136	0.493246113
137	0.4928547039
138	0.4925540599
139	0.4922299212
140	0.4920126261
141	0.491623701
142	0.4912817119
143	0.4911129872
144	0.4908423041
145	0.490599749
146	0.4902951131
147	0.4900806208
148	0.4897107112
149	0.4893551166
150	0.4890196844
151	0.4886592542
152	0.4883365687
153	0.4881516531
154	0.4878420963
155	0.4876475076
156	0.4873634488
157	0.4870027192
158	0.4867070594
159	0.4865063649
160	0.4863080201
161	0.4860268882
162	0.4857637844
163	0.4853713299
164	0.4851411055
165	0.4849283994
166	0.484544062
167	0.4841285936
168	0.4837453749
169	0.483408404
170	0.4830985381
171	0.4828223868
172	0.4825941568
173	0.4823319994
174	0.4818730289
175	0.4815352782
176	0.4812705303
177	0.481189967
178	0.480769879
179	0.4804268932
180	0.480110784
181	0.4797977732
182	0.4794807222
183	0.4791002637
184	0.4787973655
185	0.4785153398
186	0.478229516
187	0.4779631632
188	0.477788679
189	0.4774612813
190	0.4772626234
191	0.4769295038
192	0.4767115444
193	0.4765000239
194	0.4762656237
195	0.4759335513
196	0.4756401749
197	0.4754614584
198	0.4752772721
199	0.4751310521
200	0.4749305925
201	0.4746860415
202	0.4743905992
203	0.4741828841
204	0.4738632582
205	0.4737196545
206	0.4735417761
207	0.4733774839
208	0.4731851873
209	0.4730142622
210	0.4727931456
211	0.4725956782
212	0.4723271213
213	0.472159004
214	0.4719269068
215	0.4717564441
216	0.4715151313
217	0.471249221
218	0.4710533778
219	0.4708980778
220	0.4707401591
221	0.4704856948
222	0.4703181414
223	0.4700716123
224	0.4699080848
225	0.4696589855
226	0.4694835838
227	0.4693928578
228	0.4691143013
229	0.4688595907
230	0.4687278496
231	0.4685714467
232	0.468367395
233	0.4680318245
234	0.467827327
235	0.4676130627
236	0.4674576634
237	0.4672388137
238	0.4671201266
239	0.4669532886
240	0.4666846096
241	0.4665187407
242	0.4663571991
243	0.4662102771
244	0.4660317185
245	0.4658464131
246	0.465605663
247	0.4654247313
248	0.4650487582
249	0.4649497113
250	0.4647143241
251	0.4645119726
252	0.4642730611
253	0.4640786736
254	0.4638349194
255	0.4637089704
256	0.4635098828
257	0.4631769301
258	0.4629227644
259	0.4627394526
260	0.4625924717
261	0.4623640515
262	0.4621388224
263	0.4619643807
264	0.4617445951
265	0.4615067974
266	0.4612508605
267	0.4610405042
268	0.4608302261
269	0.4606145284
270	0.4602181678
271	0.4600262515
272	0.459851987
273	0.4596281882
274	0.4593560898
275	0.4591402565
276	0.4589664655
277	0.4588586596
278	0.4586904054
279	0.4584858308
280	0.4583347135
281	0.4581426796
282	0.4578625533
283	0.4576939634
284	0.4575497055
285	0.4573277982
286	0.4571085164
287	0.4567694639
288	0.4566472328
289	0.4564768554
290	0.4563076849
291	0.4559887597
292	0.4559074459
293	0.4556957675
294	0.4554613549
295	0.4553031994
296	0.4551280727
297	0.4549394625
298	0.4548384967
299	0.4546318578
300	0.4543154189
301	0.454174064
302	0.4540169996
303	0.4538462567
304	0.4536266151
305	0.4535057477
306	0.4533625003
307	0.4531448651
308	0.4529508613
309	0.4527600762
310	0.4526230675
311	0.4524024706
312	0.4520981074
313	0.4518465783
314	0.4516287449
315	0.4515159727
316	0.4513133736
317	0.4512340847
318	0.4510889409
319	0.450798598
320	0.4506169916
321	0.4505862368
322	0.4504384687
323	0.4503254717
324	0.4501644176
325	0.4500098645
326	0.4498560622
327	0.4497148484
328	0.4495286323
329	0.4493730578
330	0.4491004227
331	0.4489236067
332	0.4487610764
333	0.4485473231
334	0.4483558021
335	0.4481736111
336	0.4480251233
337	0.4479216699
338	0.4476677171
339	0.4473857027
340	0.4471678515
341	0.446951473
342	0.4468127071
343	0.4465316658
344	0.4463248664
345	0.446137779
346	0.4460164292
347	0.4458849702
348	0.4457182179
349	0.4455213058
350	0.445344503
351	0.4450566483
352	0.4449366212
353	0.4447340941
354	0.4445548292
355	0.4443701213
356	0.4442269206
357	0.4441617766
358	0.4438052863
359	0.4436662969
360	0.4435097982
361	0.443253062
362	0.443101671
363	0.4429918215
364	0.4427523025
365	0.4425744792
366	0.4424160124
367	0.442236657
368	0.4421258975
369	0.4419720534
370	0.4416596469
371	0.4415407706
372	0.4413551656
373	0.4412366784
374	0.4411428259
375	0.4409959068
376	0.4408541347
377	0.4407072408
378	0.4405330823
379	0.4403766671
380	0.4401090027
381	0.4399842566
382	0.4398015046
383	0.4396195167
384	0.4395033532
385	0.4392777196
386	0.4390947619
387	0.4389363213
388	0.4387545206
389	0.4386053359
390	0.4382947471
391	0.4381367388
392	0.4379910138
393	0.4378243906
394	0.4376272601
395	0.4374931511
396	0.4373217401
397	0.4370478666
398	0.4369351592
399	0.4366760442
400	0.4364975401
401	0.4362993327
402	0.4361664041
403	0.4359918394
404	0.4358134551
405	0.4356636721
406	0.4355282279
407	0.4353192148
408	0.4351727501
409	0.4350798819
410	0.4349300249
411	0.4348072835
412	0.4346865479
413	0.4344516565
414	0.4342992409
415	0.433946794
416	0.4337937161
417	0.4336124117
418	0.4334001473
419	0.4332663123
420	0.4330385868
421	0.4328959027
422	0.4327596911
423	0.4325234238
424	0.4322393537
425	0.4321007925
426	0.4318294792
427	0.4316588472
428	0.4314889667
429	0.4312712183
430	0.4308359358
431	0.430621491
432	0.4304825374
433	0.4303411953
434	0.4302250832
435	0.4299979356
436	0.4298379983
437	0.4297804152
438	0.4296370927
439	0.4295152405
440	0.4294045871
441	0.4292406249
442	0.4290460205
443	0.4289115236
444	0.4288474917
445	0.4286205907
446	0.428438211
447	0.4282145602
448	0.4279868816
449	0.4277844668
450	0.4275055226
451	0.4273640988
452	0.4272090239
453	0.4269738329
454	0.426749461
455	0.4265432376
456	0.4263968652
457	0.4262022681
458	0.4258904776
459	0.425617405
460	0.4254372431
461	0.4252878326
462	0.4251079842
463	0.4249759286
464	0.4247964515
465	0.4246523331
466	0.4245516507
467	0.4243958009
468	0.4242615782
469	0.4241069904
470	0.4239478358
471	0.4237641946
472	0.4235868494
473	0.4234456823
474	0.4231779319
475	0.4229530771
476	0.4228252043
477	0.4227360422
478	0.4223722759
479	0.4222458598
480	0.4220898137
481	0.421877458
482	0.421638165
483	0.4214427383
484	0.4212764563
485	0.4210511943
486	0.4209787613
487	0.4208141434
488	0.4206296796
489	0.4204001432
490	0.4202230755
491	0.420070963
492	0.4198077346
493	0.4195022185
494	0.4193895485
495	0.4192710432
496	0.4191084928
497	0.4188230718
498	0.4185477809
499	0.418399999
500	0.4181895536
501	0.4180497424
502	0.4179143982
503	0.4177336944
504	0.4176291973
505	0.4175121843
506	0.4174119105
507	0.4172596543
508	0.4171176198
509	0.4170331011
510	0.4168765331
511	0.4166376779
512	0.4164250112
513	0.4163102935
514	0.4162390357
515	0.4161091865
516	0.4158992352
517	0.4155734828
518	0.415419571
519	0.4152798926
520	0.4151387055
521	0.4149734095
522	0.4148430707
523	0.4147000559
524	0.4145411081
525	0.4144432476
526	0.4142820781
527	0.4140710623
528	0.4138512322
529	0.4136811391
530	0.4134529576
531	0.4130615105
532	0.412934383
533	0.4128086058
534	0.4125994618
535	0.4124414834
536	0.4123098953
537	0.4122218947
538	0.4121101743
539	0.4119478936
540	0.4117025423
541	0.4113866237
542	0.4112477812
543	0.4110068834
544	0.4108437734
545	0.4106689191
546	0.410565424
547	0.4104582668
548	0.4103382097
549	0.4100522217
550	0.4099301508
551	0.4097532536
552	0.409492021
553	0.4094274779
554	0.4091578884
555	0.4089725516
556	0.4088191773
557	0.4085959601
558	0.4083811802
559	0.4081745871
560	0.4080228063
561	0.4077920928
562	0.4075553154
563	0.4073596581
564	0.4072233514
565	0.4069745621
566	0.4068689062
567	0.4066352009
568	0.4064707663
569	0.4063296509
570	0.4061693591
571	0.4059541368
572	0.4057948266
573	0.4055901708
574	0.4053943384
575	0.4052789372
576	0.4050422982
577	0.4049894856
578	0.4048548854
579	0.4047643471
580	0.4046050913
581	0.4044110541
582	0.404241134
583	0.4040467747
584	0.4038218989
585	0.4035445457
586	0.4033172595
587	0.4031970801
588	0.4030641574
589	0.4029659697
590	0.4028320293
591	0.4026148092
592	0.4024155269
593	0.4022718672
594	0.4021401145
595	0.4019771753
596	0.4017435187
597	0.4015916986
598	0.4014418113
599	0.4013195442
600	0.4011349053
601	0.4009932776
602	0.4008430401
603	0.4006230855
604	0.4005335685
605	0.4004446859
606	0.4003074019
607	0.4002304237
608	0.4000219661
609	0.3998318097
610	0.3996762837
611	0.3994618953
612	0.3992997134
613	0.3991297199
614	0.3990398658
615	0.3989060479
616	0.3986060017
617	0.3984541735
618	0.3982546871
619	0.3980356443
620	0.397912308
621	0.3978121768
622	0.3976747768
623	0.3975374324
624	0.3973796796
625	0.397180839
626	0.397075528
627	0.3968896629
628	0.3967206988
629	0.39652947
630	0.3963522981
631	0.3960709054
632	0.3958027886
633	0.3956082568
634	0.3954072516
635	0.3952877951
636	0.3951481491
637	0.3950427398
638	0.3948750325
639	0.3946881455
640	0.3945698389
641	0.3944240321
642	0.3942246801
643	0.3940126127
644	0.3938922587
645	0.3937154857
646	0.3936044076
647	0.393510257
648	0.3932837432
649	0.3930661907
650	0.3928885105
651	0.3927321728
652	0.3925450972
653	0.3923807144
654	0.3922608872
655	0.3920785465
656	0.39186186
657	0.3917498785
658	0.3916245336
659	0.3914018155
660	0.3912056304
661	0.3910719718
662	0.3909107419
663	0.3907549209
664	0.390644209
665	0.3903372347
666	0.3901469204
667	0.3899595551
668	0.389820292
669	0.3895709906
670	0.389377465
671	0.3891974776
672	0.388963027
673	0.3887054261
674	0.3885228
675	0.3884083986
676	0.3883042873
677	0.3881651172
678	0.3880111175
679	0.3877724437
680	0.3876843681
681	0.3876103529
682	0.3874749954
683	0.3873384908
684	0.3872131977
685	0.38705965
686	0.3868896552
687	0.3867755286
688	0.3866834927
689	0.3864616331
690	0.3862858406
691	0.3860342481
692	0.3858689752
693	0.3856155303
694	0.3853844635
695	0.3851935486
696	0.3849407287
697	0.3848416132
698	0.3847272614
699	0.3845822823
700	0.384378049
701	0.3842134834
702	0.3839685727
703	0.3838177178
704	0.3836716849
705	0.3834594822
706	0.3832729162
707	0.3831487837
708	0.3829119612
709	0.3827320977
710	0.3826266343
711	0.3824459337
712	0.3822760001
713	0.3820853384
714	0.3819235137
715	0.3817777886
716	0.3816152665
717	0.3813931878
718	0.3811805695
719	0.3810259668
720	0.3808316385
721	0.3806581638
722	0.3804146081
723	0.3801534511
724	0.379973951
725	0.3798501947
726	0.3796323224
727	0.3792390729
728	0.3791637326
729	0.378978417
730	0.3788545512
731	0.3786146917
732	0.3785118076
733	0.3784006792
734	0.3782042765
735	0.3779814854
736	0.3778104801
737	0.3777211226
738	0.3775770675
739	0.3774361363
740	0.3773181803
741	0.3771208937
742	0.3770919988
743	0.3768894204
744	0.3768076802
745	0.3766639499
746	0.3764566143
747	0.3762755707
748	0.3761776304
749	0.3760238918
750	0.3758807313
751	0.3756783344
752	0.3755559559
753	0.3753855431
754	0.3751830589
755	0.3750663235
756	0.3748349178
757	0.3746606044
758	0.374549103
759	0.3742771169
760	0.3741343533
761	0.3740348489
762	0.3738269294
763	0.3736654658
764	0.3733568064
765	0.3732448787
766	0.3730483933
767	0.3728715478
768	0.372717159
769	0.3725975539
770	0.3724164812
771	0.3723074678
772	0.3721035186
773	0.3719913148
774	0.3717234178
775	0.3716185086
776	0.3714645185
777	0.3712990765
778	0.3711346812
779	0.370962446
780	0.3708600765
781	0.3707671694
782	0.3706009654
783	0.370405706
784	0.3700979527
785	0.3699149193
786	0.3698017747
787	0.3697314415
788	0.3695677591
789	0.3694212116
790	0.3692410393
791	0.3691201519
792	0.3689486864
793	0.3687898256
794	0.3686130045
795	0.3683427837
796	0.3681840575
797	0.3680440988
798	0.3678060162
799	0.3676429504
800	0.3675716959
801	0.3673723895
802	0.3671613076
803	0.3668765099
804	0.3667552596
805	0.3665264582
806	0.3663465275
807	0.3661963794
808	0.3659974907
809	0.3657813441
810	0.3656443504
811	0.3654309618
812	0.3652318545
813	0.365065796
814	0.3649092645
815	0.3647591569
816	0.3645383961
817	0.3644050797
818	0.3642317318
819	0.3640985948
820	0.3638309678
821	0.3636958117
822	0.3635765688
823	0.3634251954
824	0.3633303865
825	0.3631473007
826	0.3629550896
827	0.3627506198
828	0.3625878761
829	0.3624384548
830	0.3623154949
831	0.3621008124
832	0.3619268182
833	0.3617775181
834	0.3616132643
835	0.3614665184
836	0.3612358884
837	0.3611642493
838	0.3610631469
839	0.3608626162
