iter	Passed	Remaining
428	1682	2239
429	1686	2235
430	1690	2231
431	1694	2227
432	1697	2223
433	1701	2219
434	1705	2214
435	1709	2211
436	1714	2208
437	1718	2204
438	1722	2200
439	1725	2196
440	1730	2193
441	1734	2190
442	1739	2186
443	1743	2182
444	1746	2178
445	1751	2175
446	1756	2172
447	1759	2167
448	1763	2164
449	1769	2162
450	1774	2159
451	1778	2156
452	1783	2153
453	1787	2149
454	1790	2144
455	1795	2141
456	1799	2138
457	1803	2134
458	1807	2130
459	1811	2127
460	1816	2123
461	1820	2119
462	1823	2115
463	1828	2112
464	1832	2107
465	1837	2105
466	1841	2101
467	1843	2095
468	1849	2093
469	1852	2089
470	1854	2082
471	1860	2080
472	1864	2076
473	1869	2074
474	1873	2070
475	1878	2067
476	1881	2063
477	1889	2063
478	1894	2060
479	1897	2056
480	1901	2051
481	1905	2048
482	1908	2043
483	1913	2039
484	1917	2035
485	1922	2032
486	1926	2029
487	1930	2025
488	1934	2021
489	1938	2017
490	1942	2013
491	1947	2010
492	1951	2006
493	1954	2002
494	1959	1998
495	1965	1997
496	1968	1992
497	1973	1988
498	1977	1985
499	1982	1982
500	1985	1977
501	1989	1974
502	1993	1970
503	1998	1966
504	2002	1962
505	2007	1960
506	2011	1956
507	2016	1952
508	2020	1948
509	2024	1944
510	2027	1940
511	2032	1936
512	2035	1932
513	2040	1929
514	2044	1925
515	2049	1922
516	2052	1917
517	2056	1913
518	2061	1910
519	2065	1906
520	2068	1902
521	2073	1899
522	2077	1894
523	2081	1890
524	2090	1891
525	2094	1887
526	2098	1883
527	2102	1879
528	2106	1875
529	2110	1871
530	2115	1868
531	2119	1864
532	2123	1860
533	2125	1854
534	2128	1850
535	2132	1845
536	2138	1843
537	2143	1840
538	2147	1836
539	2151	1832
540	2154	1827
541	2158	1824
542	2164	1821
543	2167	1816
544	2170	1812
545	2175	1808
546	2177	1803
547	2179	1797
548	2186	1795
549	2190	1792
550	2195	1788
551	2200	1785
552	2204	1781
553	2208	1777
554	2212	1773
555	2215	1769
556	2220	1765
557	2224	1761
558	2228	1757
559	2232	1754
560	2236	1750
561	2240	1746
562	2244	1742
563	2248	1738
564	2251	1733
565	2256	1729
566	2259	1725
567	2261	1720
568	2266	1716
569	2268	1711
570	2271	1706
571	2273	1701
572	2278	1698
573	2280	1692
574	2282	1687
575	2284	1681
576	2286	1676
577	2288	1671
578	2290	1665
579	2292	1660
580	2294	1654
581	2296	1649
582	2299	1644
583	2301	1639
584	2303	1634
585	2305	1628
586	2307	1623
587	2311	1619
588	2315	1615
589	2319	1611
590	2324	1608
591	2328	1604
592	2333	1601
593	2336	1597
594	2342	1594
595	2346	1590
596	2350	1586
597	2354	1582
598	2358	1578
599	2362	1574
600	2366	1571
601	2370	1567
602	2374	1563
603	2378	1559
604	2382	1555
605	2387	1552
606	2390	1547
607	2395	1544
608	2398	1540
609	2402	1536
610	2407	1532
611	2411	1528
612	2414	1524
613	2419	1520
614	2423	1516
615	2426	1512
616	2430	1508
617	2435	1505
618	2439	1501
619	2443	1497
620	2447	1494
621	2451	1489
622	2455	1485
623	2459	1482
624	2464	1478
625	2468	1474
626	2472	1471
627	2477	1467
628	2480	1462
629	2484	1459
630	2488	1455
631	2492	1451
632	2498	1448
633	2500	1443
634	2506	1440
635	2508	1435
636	2510	1430
637	2512	1425
638	2515	1421
639	2520	1417
640	2526	1415
641	2530	1411
642	2533	1406
643	2538	1403
644	2542	1399
645	2546	1395
646	2549	1391
647	2551	1386
648	2556	1382
649	2561	1379
650	2563	1374
651	2565	1369
652	2570	1366
653	2574	1361
654	2577	1357
655	2582	1354
656	2587	1350
657	2591	1346
658	2594	1342
659	2598	1338
660	2602	1334
661	2607	1331
662	2610	1327
663	2614	1322
664	2618	1319
665	2622	1315
666	2626	1311
667	2630	1307
668	2635	1303
669	2638	1299
670	2642	1295
671	2647	1292
672	2650	1287
673	2655	1284
674	2659	1280
675	2662	1276
676	2667	1272
677	2669	1268
678	2673	1263
679	2677	1260
680	2681	1256
681	2685	1252
682	2691	1249
683	2695	1245
684	2698	1241
685	2703	1237
686	2707	1233
687	2711	1229
688	2715	1225
689	2719	1221
690	2723	1217
691	2726	1213
692	2731	1210
693	2735	1206
694	2739	1202
695	2744	1198
696	2748	1194
697	2752	1190
698	2756	1187
699	2761	1183
700	2766	1179
701	2770	1176
702	2772	1171
703	2778	1168
704	2781	1164
705	2787	1160
706	2789	1155
707	2791	1151
708	2793	1146
709	2795	1142
710	2800	1138
711	2803	1134
712	2805	1129
713	2807	1124
714	2809	1119
715	2811	1115
716	2813	1110
717	2815	1105
718	2817	1101
719	2819	1096
720	2821	1091
721	2823	1087
722	2825	1082
723	2827	1077
724	2829	1073
725	2831	1068
726	2833	1063
727	2835	1059
728	2837	1054
729	2839	1050
730	2841	1045
731	2843	1041
732	2845	1036
733	2848	1032
734	2850	1027
735	2857	1024
736	2861	1021
737	2864	1017
738	2868	1012
739	2873	1009
740	2876	1005
741	2880	1001
742	2884	997
743	2889	994
744	2893	990
745	2897	986
746	2900	982
747	2905	978
748	2909	974
749	2913	971
750	2915	966
751	2920	963
752	2923	959
753	2926	954
754	2928	950
755	2932	946
756	2936	942
757	2941	938
758	2943	934
759	2945	930
760	2950	926
761	2952	922
762	2955	918
763	2959	914
764	2966	911
765	2970	907
766	2974	903
767	2978	899
768	2982	896
769	2986	892
770	2990	888
771	2994	884
772	2999	880
773	3002	876
774	3007	873
775	3010	868
776	3012	864
777	3017	860
778	3019	856
779	3022	852
780	3026	848
781	3030	844
782	3034	840
783	3038	837
784	3042	833
785	3045	829
786	3049	825
787	3053	821
788	3057	817
789	3062	814
790	3065	810
791	3071	806
792	3073	802
793	3077	798
794	3082	794
795	3086	791
796	3091	787
797	3094	783
798	3101	780
799	3105	776
800	3108	772
801	3113	768
802	3116	764
803	3120	760
804	3121	756
805	3128	752
806	3130	748
807	3132	744
808	3134	740
809	3136	735
810	3138	731
811	3140	727
812	3142	722
813	3144	718
814	3146	714
815	3148	710
816	3150	705
817	3152	701
818	3155	697
819	3157	693
820	3159	688
821	3161	684
822	3164	680
823	3166	676
824	3168	672
825	3170	667
826	3172	663
827	3174	659
828	3176	655
829	3178	651
830	3180	646
831	3182	642
832	3187	639
833	3189	634
834	3191	630
835	3193	626
836	3195	622
837	3197	618
838	3199	613
839	3201	609
840	3203	605
841	3204	601
842	3206	597
843	3208	593
844	3210	588
845	3212	584
846	3214	580
847	3218	576
848	3222	573
849	3224	569
850	3226	564
851	3228	560
852	3230	556
853	3232	552
854	3234	548
855	3236	544
856	3238	540
857	3240	536
858	3242	532
859	3244	528
860	3246	524
861	3248	520
862	3250	516
863	3252	511
864	3254	507
865	3256	503
866	3258	499
867	3260	495
868	3262	491
869	3263	487
870	3265	483
871	3267	479
872	3269	475
873	3271	471
874	3273	467
875	3275	463
876	3277	459
877	3279	455
878	3281	451
879	3283	447
880	3285	443
881	3287	439
882	3289	435
883	3291	431
884	3293	427
885	3295	424
886	3297	420
887	3299	416
888	3301	412
889	3303	408
890	3305	404
891	3307	400
892	3308	396
893	3310	392
894	3312	388
895	3314	384
896	3316	380
897	3318	376
898	3320	373
899	3321	369
900	3323	365
901	3325	361
902	3327	357
903	3329	353
904	3330	349
905	3332	345
906	3334	341
907	3336	338
908	3338	334
909	3339	330
910	3341	326
911	3343	322
912	3345	318
913	3347	314
914	3349	311
915	3350	307
916	3352	303
917	3354	299
918	3356	295
919	3358	292
920	3360	288
921	3362	284
922	3364	280
923	3366	276
924	3368	273
925	3369	269
926	3371	265
927	3373	261
928	3375	257
929	3377	254
930	3379	250
931	3381	246
932	3382	242
933	3384	239
934	3386	235
935	3388	231
936	3390	227
937	3391	224
938	3393	220
939	3395	216
940	3397	213
941	3399	209
942	3401	205
943	3402	201
944	3404	198
945	3406	194
946	3408	190
947	3410	187
948	3412	183
949	3413	179
950	3415	175
951	3417	172
952	3419	168
953	3421	164
954	3423	161
955	3424	157
956	3426	153
957	3428	150
958	3430	146
959	3432	143
960	3434	139
961	3435	135
962	3437	132
963	3439	128
964	3441	124
965	3443	121
966	3445	117
967	3446	113
968	3448	110
969	3450	106
970	3452	103
971	3454	99
972	3456	95
973	3457	92
974	3459	88
975	3461	85
976	3463	81
977	3465	77
978	3467	74
979	3469	70
980	3470	67
981	3472	63
982	3474	60
983	3476	56
984	3478	52
985	3480	49
986	3481	45
987	3483	42
988	3485	38
989	3487	35
990	3489	31
991	3491	28
992	3493	24
993	3495	21
994	3497	17
995	3499	14
996	3500	10
997	3502	7
998	3504	3
999	3506	0
7	53
987	4029	48
988	4031	44
989	4033	40
990	4035	36
991	4037	32
992	4040	28
993	4042	24
994	4044	20
995	4045	16
996	4047	12
997	4049	8
998	4051	4
999	4053	0
89	8456	85
990	8468	76
991	8482	68
992	8490	59
993	8492	51
994	8497	42
995	8499	34
996	8508	25
997	8511	17
998	8516	8
999	8520	0
